phase,architecture,representation,Mean_User_time_seconds,Mean_Elapsed_time_seconds,Mean_System_time_seconds,Mean_Percent_of_CPU,mean_maxRSS_GB
pretrain,arias2022,cgr_idelucs,2869.935993031359,95.81968641114982,93.9052613240418,3180.264808362369,2.9408662244417942
pretrain,arias2022,cgr_varKoder,2643.269198606272,83.76996515679443,76.96613240418118,3246.515679442509,2.9414982679413586
pretrain,arias2022,varKodes,69.23094076655052,66.90052264808362,4.029965156794425,109.07317073170732,2.940972411258711
pretrain,fiannaca2018,cgr_idelucs,2914.0921602787457,95.34160278745645,91.43651567944251,3159.937282229965,4.025282457730496
pretrain,fiannaca2018,cgr_varKoder,2768.623693379791,89.2494425087108,80.4787456445993,3191.4947735191636,4.025539291860334
pretrain,fiannaca2018,varKodes,75.91494773519163,70.3594425087108,4.930662020905923,114.45993031358886,3.9833853718295744
pretrain,ig_resnext101_32x8d,cgr_idelucs,5171.854216027875,190.62675958188154,163.89811846689895,2821.0871080139373,4.055426421481142
pretrain,ig_resnext101_32x8d,cgr_varKoder,5192.953554006968,187.94170731707317,152.1002787456446,2851.637630662021,4.053916532403501
pretrain,ig_resnext101_32x8d,varKodes,148.98717770034844,154.14745644599304,5.018466898954704,98.99651567944251,4.052219178203091
pretrain,vit_large_patch32_224,cgr_idelucs,5649.121672473868,291.42954703832754,184.3347038327526,2018.6550522648083,4.027622103275737
pretrain,vit_large_patch32_224,cgr_varKoder,5652.077909407665,289.1784320557491,173.83351916376307,2037.8989547038327,4.02878379157196
pretrain,vit_large_patch32_224,varKodes,5608.890418118467,271.1158885017422,163.45804878048781,2131.6759581881533,4.026277482301931
